name,category,address,area,phone,instagram,website,contact_method,priority,status,notes,why_good_fit,risk,next_action,source_url,last_contacted_at
"Wink Café Liberec",cafe,"ověřit ručně",centrum_liberec,"ověřit ručně","@wink_cafe_liberec","ověřit ručně",instagram_dm,medium,new,"káva/snídaně/zákusky/sendviče, otevřeno PO–PÁ 7–19, So 8–19, Ne 9–18","aktivní IG, široká otevírací doba, snídaňový koncept","Instagram aktivní → snadnější digitální kontakt; ale menší jídelní pole","IG DM s variantou A","https://www.instagram.com/wink_cafe_liberec/",
"eBistro Liberec",cafe,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://www.bistroliberec.cz/",whatsapp,medium,new,"čerstvé snídaně, brunch, catering, doručování do kanceláří denně","stabilní brand, catering = více zákazníků za den","model 'rozvoz do firem' nemusí mít smysl pro hunger v okolí — ověřit jestli mají i sit-in","kontakt přes web; pak rozhodnout o návštěvě","https://www.bistroliberec.cz/",
"Espresso Cafe Liberec",cafe,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","https://espresso-cafe.eatbu.com/",walkin,medium,new,"European cuisine, bookable přes eatbu","má rezervační kanál (eatbu) = digital-friendly","může být víc restaurant než cafe; ověřit kategorii","obejít","https://espresso-cafe.eatbu.com/",
"MỘC — Pravá Vietnamská kuchyně",restaurant,"Tržní náměstí 860/1, Staré Město, 460 01 Liberec",centrum_liberec,"ověřit ručně","ověřit ručně","https://www.moc-restaurant.cz/",walkin,medium,new,"autentická vietnamská kuchyně, první pobočka 2019 na Tržním náměstí","jasná identita značky, vlastní web","RISK: cca 7 poboček = je to mini-chain → pitch musí jít na local manager/founder, ne na servírku","ověřit, jestli majitel je v liberecké pobočce; obejít mimo špičku","https://www.moc-restaurant.cz/",
"Pho Viet My Bistro",restaurant,"Blažkova 654, Liberec",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,medium,new,"vietnamská kuchyně, prodej vietnamských potravin","autentický menší podnik (single location dle Restu.cz)","ověřit owner-operated","obejít","https://www.restu.cz/pho-viet/",
"Muňaňo streetfood bistro",street_food,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",instagram_dm,medium,new,"streetfood bistro v Liberci, profil na foodora","streetfood s rozvozem = dvojí channel","na foodora = může mít provoz pre-existing s rozvozkou; ověřit jestli má i kamenný prostor","ověřit address, pak walk-in nebo DM","https://www.foodora.cz/restaurant/p5q4/munano-streetfood-bistro",
"KAUAI POKE Liberec",street_food,"Sokolovské nám. 258/20, 460 07 Liberec",centrum_liberec,"ověřit ručně","ověřit ručně","https://www.kauaipoke.cz/",walkin,medium,new,"poke bowls, fast pickup, centrum","fast lunch + healthy bowls = test pro 'mám 15 minut' situaci","RISK: může být franchise/multi-location — ověřit","ověřit, jestli je jen 1 pobočka nebo síť","https://www.kauaipoke.cz/",
"VEGIT-POINT Café-Bistro",cafe,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,medium,new,"vegan/vegetariánské café-bistro","další vegan kandidát pokud Ánanda nevyjde","menší/lokální podnik = potřebuje fyzicky obejít","obejít","https://veggiezone.cz/mista/jidlo/liberec",
"Lalot Bistro",bistro,"Jateční 5156/4, 466 01 Jablonec nad Nisou",jablonec,"ověřit ručně","ověřit ručně","https://lalotbistro.cz/",walkin,medium,new,"independent bistro v Jablonci","záloha pro Jablonec; vlastní web = digital-friendly","Jablonec = cestování pro zakladatele; nižší priorita pro Pilot 0","kontakt mailem nebo telefonem nejdřív","https://lalotbistro.cz/",
"Radniční sklípek",restaurant,"ověřit ručně",centrum_liberec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,low,new,"historická restaurace/pivnice s historií od 1893, tradiční česká kuchyně, točené pivo","autentický příběh, lokální turistické místo","RISK: historický podnik = může být korporátně vedený, ne owner-operated; nemusí mít kapacitu na digital","obejít mimo špičku; mluvit s šéfkuchařem ne s číšníkem","https://www.tripadvisor.com/Restaurants-g274702-Liberec_Liberec_Region_Bohemia.html",
"Restaurace Ještěd / Hotel Ještěd",restaurant,"ověřit ručně",jested,"ověřit ručně","ověřit ručně","https://www.jested.cz/",walkin,low,new,"restaurace v ikonickém hotelu Ještěd, sezónně Bistro 1012 + venkovní Rohanka","ikonická lokalita, vysoký turistický potenciál","RISK: korporátně vedený hotel = pravděpodobně HQ rozhodování, ne owner-operated → mimo Pilot 0 model","kontaktovat až po doložení 5 živých profilů; vyžaduje formální outreach","https://www.jested.cz/cs/restaurace",
"Sagarmatha (indická a nepálská)",restaurant,"ověřit ručně",jablonec,"ověřit ručně","ověřit ručně","https://nepalskaaindicka.cz/sagarmatha/jablonec",walkin,low,new,"indická a nepálská kuchyně v centru Jablonce","jiná kuchyně = test pro craving 'chci dnes indickou'","Jablonec = cestování; má víc poboček podle URL","obejít při návštěvě Jablonce","https://nepalskaaindicka.cz/sagarmatha/jablonec",
"Bistro Koláček",bistro,"ověřit ručně",jablonec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,low,new,"populární v Jablonci","záloha","minimální veřejné info","ověřit přes Google Maps + IG","https://www.tripadvisor.com/Restaurants-g274695-Jablonec_nad_Nisou_Liberec_Region_Bohemia.html",
"Q Burger bar (Jablonec)",bistro,"ověřit ručně",jablonec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,low,new,"burger bar v Jablonci","záloha pro Jablonec","ověřit owner-operated, ne franchise","obejít při návštěvě Jablonce","https://www.tripadvisor.com/Restaurants-g274695-Jablonec_nad_Nisou_Liberec_Region_Bohemia.html",
"Bistro Vegit Point (Jablonec)",cafe,"ověřit ručně",jablonec,"ověřit ručně","ověřit ručně","ověřit ručně",walkin,low,new,"vegan/vegetariánské bistro v Jablonci","další vegan kandidát mimo Liberec, pokud Pilot 0 expand na Jablonec","Jablonec = cestování pro zakladatele","obejít při návštěvě Jablonce","https://www.tripadvisor.com/Restaurants-g274695-Jablonec_nad_Nisou_Liberec_Region_Bohemia.html",
